,moverscore,number of Unique sentences,chapter-title,source
288,0.5298697616459929,10,Adam Bede.book 2.chapter 21,shmoop
289,0.5355006054753805,8,Adam Bede.book 3.chapter 22,shmoop
290,0.5421088771058767,6,Adam Bede.book 3.chapter 23,shmoop
291,0.5339989490667943,9,Adam Bede.book 3.chapter 24,shmoop
292,0.5342849206395588,8,Adam Bede.book 3.chapter 25,shmoop
293,0.5429358645663315,14,Adam Bede.book 3.chapter 26,shmoop
294,0.5370915680094721,12,Adam Bede.book 4.chapter 27,shmoop
295,0.5418856293894221,9,Adam Bede.book 4.chapter 28,shmoop
296,0.5443363189107252,8,Adam Bede.book 4.chapter 29,shmoop
297,0.53500907811744,13,Adam Bede.book 4.chapter 30,shmoop
298,0.529417627925568,9,Adam Bede.book 4.chapter 31,shmoop
299,0.5295544754662675,6,Adam Bede.book 4.chapter 32,shmoop
300,0.5343261216213998,9,Adam Bede.book 4.chapter 33,shmoop
301,0.5388137244461454,13,Adam Bede.book 4.chapter 34,shmoop
302,0.5316771903743118,11,Adam Bede.book 4.chapter 35,shmoop
303,0.5421205381025299,10,Adam Bede.book 5.chapter 36,shmoop
304,0.5425995369365157,11,Adam Bede.book 5.chapter 37,shmoop
305,0.5419937629019981,22,Adam Bede.book 5.chapter 38,shmoop
306,0.5395187292297675,14,Adam Bede.book 5.chapter 39,shmoop
307,0.5318494213058346,18,Adam Bede.book 5.chapter 40,shmoop
308,0.5329486408848144,9,Adam Bede.book 5.chapter 41,shmoop
309,0.5258804311325452,11,Adam Bede.book 5.chapter 42,shmoop
310,0.5372266351846654,13,Adam Bede.book 5.chapter 43,shmoop
311,0.5343678085319309,9,Adam Bede.book 5.chapter 44,shmoop
312,0.5409212184490809,14,Adam Bede.book 5.chapter 45,shmoop
313,0.5516763567714839,12,Adam Bede.book 5.chapter 46,shmoop
314,0.5483669681079614,5,Adam Bede.book 5.chapter 47,shmoop
315,0.5362941879658532,11,Adam Bede.book 5.chapter 48,shmoop
316,0.5333578556107744,10,Adam Bede.book 6.chapter 49,shmoop
317,0.5418690426559186,11,Adam Bede.book 6.chapter 50,shmoop
318,0.5398529815270076,14,Adam Bede.book 6.chapter 51,shmoop
319,0.531842682493656,11,Adam Bede.book 6.chapter 52,shmoop
320,0.5293484140114417,7,Adam Bede.book 6.chapter 53,shmoop
321,0.5407477974848031,8,Adam Bede.book 6.chapter 54,shmoop
322,0.5272076948748211,7,Adam Bede.book 6.chapter 55,shmoop
323,0.534298960754995,6,Adam Bede.epilogue.chapter 56,shmoop
324,0.5505021283166912,7,Adam Bede.book 1.chapter 1,cliffnotes
325,0.5504876783894972,6,Adam Bede.book 1.chapter 2,cliffnotes
326,0.5543994645633182,3,Adam Bede.book 1.chapter 3,cliffnotes
327,0.5678016731671716,8,Adam Bede.book 1.chapter 4,cliffnotes
328,0.5601324856971984,5,Adam Bede.book 1.chapter 5,cliffnotes
329,0.5597358038564041,6,Adam Bede.book 1.chapter 10,cliffnotes
330,0.5596321771608933,9,Adam Bede.book 1.chapter 11,cliffnotes
331,0.5578155512308997,8,Adam Bede.book 1.chapter 16,cliffnotes
332,0.5531867022054999,3,Adam Bede.book 2.chapter 17,cliffnotes
333,0.5600144140831693,9,Adam Bede.book 2.chapter 18,cliffnotes
334,0.5509053232441478,4,Adam Bede.book 2.chapter 19,cliffnotes
335,0.566675552278683,10,Adam Bede.book 2.chapter 20,cliffnotes
336,0.557688929541316,7,Adam Bede.book 2.chapter 21,cliffnotes
337,0.5632620161151105,4,Adam Bede.book 4.chapter 29,cliffnotes
338,0.5546324627508487,3,Adam Bede.book 4.chapter 32,cliffnotes
339,0.5475632903612382,5,Adam Bede.book 4.chapter 35,cliffnotes
340,0.5702475726377425,5,Adam Bede.book 5.chapter 38,cliffnotes
341,0.5589270168044491,6,Adam Bede.book 5.chapter 43,cliffnotes
342,0.5685317337711184,5,Adam Bede.book 5.chapter 44,cliffnotes
343,0.560320444339321,9,Adam Bede.book 5.chapter 45,cliffnotes
344,0.5605278414685237,9,Adam Bede.book 5.chapter 48,cliffnotes
345,0.5576989494205841,6,Adam Bede.book 6.chapter 53,cliffnotes
346,0.5515174860975393,6,Adam Bede.epilogue.chapter 56,cliffnotes
347,0.54920678096757,7,Adam Bede.book 1.chapter 1,sparknotes
348,0.5616314175779975,5,Adam Bede.book 1.chapter 2,sparknotes
349,0.5564339610718945,6,Adam Bede.book 1.chapter 3,sparknotes
350,0.5723912472557637,7,Adam Bede.book 1.chapter 4,sparknotes
351,0.5572070196261626,6,Adam Bede.book 1.chapter 5,sparknotes
352,0.564711151453693,4,Adam Bede.book 1.chapter 6,sparknotes
353,0.5492393876615886,4,Adam Bede.book 1.chapter 7,sparknotes
354,0.5551213857506577,5,Adam Bede.book 1.chapter 8,sparknotes
355,0.5512591921763376,5,Adam Bede.book 1.chapter 9,sparknotes
356,0.5685961326943417,3,Adam Bede.book 1.chapter 10,sparknotes
357,0.565777377348515,6,Adam Bede.book 1.chapter 11,sparknotes
358,0.562362748772477,6,Adam Bede.book 1.chapter 12,sparknotes
359,0.5549612711143793,5,Adam Bede.book 1.chapter 13,sparknotes
360,0.5688381973233029,6,Adam Bede.book 1.chapter 14,sparknotes
361,0.5607424599831989,8,Adam Bede.book 1.chapter 15,sparknotes
362,0.5538417461109767,8,Adam Bede.book 1.chapter 16,sparknotes
363,0.5475511346509494,5,Adam Bede.book 2.chapter 17,sparknotes
364,0.5535908628316039,8,Adam Bede.book 2.chapter 18,sparknotes
365,0.562249484080997,4,Adam Bede.book 2.chapter 19,sparknotes
366,0.570647068500487,8,Adam Bede.book 2.chapter 20,sparknotes
367,0.5586362400631185,5,Adam Bede.book 2.chapter 21,sparknotes
368,0.5528986280891767,5,Adam Bede.book 3.chapter 22,sparknotes
369,0.5838313014948144,2,Adam Bede.book 3.chapter 23,sparknotes
370,0.5558193761009848,4,Adam Bede.book 3.chapter 24,sparknotes
371,0.5489041076820819,5,Adam Bede.book 3.chapter 25,sparknotes
372,0.5700650091149384,6,Adam Bede.book 3.chapter 26,sparknotes
373,0.5656861493256086,6,Adam Bede.book 4.chapter 27,sparknotes
374,0.5560926435177244,6,Adam Bede.book 4.chapter 28,sparknotes
375,0.5636130343890671,4,Adam Bede.book 4.chapter 29,sparknotes
376,0.5650102979790296,5,Adam Bede.book 4.chapter 30,sparknotes
377,0.5627169915030278,6,Adam Bede.book 4.chapter 31,sparknotes
378,0.5595111030348348,6,Adam Bede.book 4.chapter 32,sparknotes
379,0.5523362771321236,5,Adam Bede.book 4.chapter 33,sparknotes
380,0.5790249406467012,5,Adam Bede.book 4.chapter 34,sparknotes
381,0.5546922069095764,7,Adam Bede.book 4.chapter 35,sparknotes
382,0.5552066001056964,8,Adam Bede.book 5.chapter 36,sparknotes
383,0.5651530426140089,6,Adam Bede.book 5.chapter 37,sparknotes
384,0.569976272374079,7,Adam Bede.book 5.chapter 38,sparknotes
385,0.5678680462035876,5,Adam Bede.book 5.chapter 39,sparknotes
386,0.5665793561244888,9,Adam Bede.book 5.chapter 40,sparknotes
387,0.5584835847366697,7,Adam Bede.book 5.chapter 41,sparknotes
388,0.5660500489464484,5,Adam Bede.book 5.chapter 42,sparknotes
389,0.5628443552884573,9,Adam Bede.book 5.chapter 43,sparknotes
390,0.5563663312024517,8,Adam Bede.book 5.chapter 44,sparknotes
391,0.5698976120185284,7,Adam Bede.book 5.chapter 45,sparknotes
392,0.5851706335796871,10,Adam Bede.book 5.chapter 46,sparknotes
393,0.5547711178992957,4,Adam Bede.book 5.chapter 47,sparknotes
394,0.5584441203352704,8,Adam Bede.book 5.chapter 48,sparknotes
395,0.5631711965595136,6,Adam Bede.book 6.chapter 49,sparknotes
