,rouge-l,number of Unique sentences,title,source
279,0.2414230646872719,22,much ado about nothing,sparknotes
280,0.22161875116376206,17,anthem,gradesaver
281,0.20470289297377822,21,anthem,shmoop
282,0.20731279983316817,26,anthem,cliffnotes
283,0.2384689609464523,23,anthem,sparknotes
284,0.21140007925627302,34,as you like it,gradesaver
285,0.20346801586758467,36,as you like it,shmoop
286,0.23609688356244354,30,as you like it,sparknotes
287,0.14098611072626432,19,the ambassadors,shmoop
288,0.18272341522127544,12,the ambassadors,cliffnotes
289,0.20422953543687378,27,the taming of the shrew,gradesaver
290,0.20844736503952094,27,the taming of the shrew,shmoop
291,0.2120496644118225,26,the taming of the shrew,sparknotes
292,0.21784311802583511,56,the brothers karamazov,gradesaver
293,0.22289664562959421,40,the brothers karamazov,shmoop
294,0.2151927934810048,45,the brothers karamazov,cliffnotes
295,0.2235361813796277,45,the brothers karamazov,sparknotes
296,0.19951373564954059,38,the portrait of a lady,gradesaver
297,0.21065001699185823,21,the portrait of a lady,shmoop
298,0.23832132751304566,22,the portrait of a lady,cliffnotes
299,0.2105887235183371,22,the portrait of a lady,sparknotes
300,0.16460402480981007,13,the prince,gradesaver
301,0.1064460749049974,14,the prince,shmoop
302,0.16896744963181218,10,the prince,cliffnotes
303,0.1657995920496134,11,the prince,sparknotes
304,0.22873543181732076,10,the red and the black,shmoop
305,0.21810267210166936,22,the red and the black,cliffnotes
306,0.27168293519027675,22,the red and the black,sparknotes
307,0.21224042363185647,27,the picture of dorian gray,gradesaver
308,0.18994641349918226,27,the picture of dorian gray,shmoop
309,0.21319726878865228,27,the picture of dorian gray,cliffnotes
310,0.21783054599039253,27,the picture of dorian gray,sparknotes
311,0.1874450808787911,24,lord jim,gradesaver
312,0.19511025954409653,10,lord jim,shmoop
313,0.18033168392522617,26,lord jim,cliffnotes
314,0.2088624129309502,19,lord jim,sparknotes
315,0.19078086067890263,21,far from the madding crowd,gradesaver
316,0.1591006527092813,18,far from the madding crowd,shmoop
317,0.19264343661899427,16,far from the madding crowd,cliffnotes
318,0.22431619015423235,14,far from the madding crowd,sparknotes
319,0.20333030645711128,21,sense and sensibility,gradesaver
320,0.19435451844452922,20,sense and sensibility,shmoop
321,0.20015015864193228,21,sense and sensibility,cliffnotes
322,0.23688462807533558,19,sense and sensibility,sparknotes
323,0.1810027993265512,24,the white devil,gradesaver
324,0.20534779360174923,25,the white devil,shmoop
325,0.20170085874311222,40,the tempest,gradesaver
326,0.19046096419932793,35,the tempest,shmoop
327,0.19983585383806632,37,the tempest,sparknotes
328,0.21094300289654724,37,uncle vanya,gradesaver
329,0.21040488982627747,32,uncle vanya,shmoop
330,0.2080434942238784,30,uncle vanya,sparknotes
331,0.1788659746890348,15,the comedy of errors,shmoop
332,0.23338089579047225,14,the comedy of errors,sparknotes
