,rouge-l,number of Unique sentences,chapter-title,source
4189,0.16099201545242947,5,Candide.chapter 9,novelguide
4190,0.17443033136359964,3,Candide.chapter 10,novelguide
4191,0.16025480295140318,10,Candide.chapter 11,novelguide
4192,0.18835808237589313,6,Candide.chapter 12,novelguide
4193,0.20104862456128986,5,Candide.chapter 13,novelguide
4194,0.18085657470339972,6,Candide.chapter 14,novelguide
4195,0.17448536227122885,3,Candide.chapter 25,novelguide
4196,0.18645236177129515,4,Candide.chapter 26,novelguide
4197,0.14655633545468494,3,Candide.chapter 27,novelguide
4198,0.15604923474261395,4,Candide.chapter 28,novelguide
4199,0.2024003547093093,22,Paradise Lost.book 1,gradesaver
4200,0.21036801718794157,30,Paradise Lost.book 2,gradesaver
4201,0.20330108597695887,15,Paradise Lost.book 3,gradesaver
4202,0.24493165086350327,26,Paradise Lost.book 4,gradesaver
4203,0.24656857964094017,18,Paradise Lost.book 5,gradesaver
4204,0.23230837325201315,22,Paradise Lost.book 6,gradesaver
4205,0.207862808934066,4,Paradise Lost.book 7,gradesaver
4206,0.2335394245314583,12,Paradise Lost.book 8,gradesaver
4207,0.23600512118061315,21,Paradise Lost.book 9,gradesaver
4208,0.24830728371823957,26,Paradise Lost.book 10,gradesaver
4209,0.16453661208466874,23,Paradise Lost.book 1,shmoop
4210,0.17029304957829286,37,Paradise Lost.book 2,shmoop
4211,0.16418849722856926,17,Paradise Lost.book 3,shmoop
4212,0.1894099536569115,28,Paradise Lost.book 4,shmoop
4213,0.19380592881324585,20,Paradise Lost.book 5,shmoop
4214,0.17414215720849538,25,Paradise Lost.book 6,shmoop
4215,0.12169439607430504,4,Paradise Lost.book 7,shmoop
4216,0.17490443026288452,15,Paradise Lost.book 8,shmoop
4217,0.18331568040789628,23,Paradise Lost.book 9,shmoop
4218,0.21015955644238526,30,Paradise Lost.book 10,shmoop
4219,0.14420803092148574,6,Paradise Lost.book i,cliffnotes
4220,0.17698592491115084,10,Paradise Lost.book ii,cliffnotes
4221,0.22777602572448646,10,Paradise Lost.book iii,cliffnotes
4222,0.23633674080995407,24,Paradise Lost.book iv,cliffnotes
4223,0.2280211228187718,15,Paradise Lost.book v,cliffnotes
4224,0.2312652960666676,11,Paradise Lost.book vi,cliffnotes
4225,0.24961214380222624,6,Paradise Lost.book vii,cliffnotes
4226,0.2622233766593267,15,Paradise Lost.book viii,cliffnotes
4227,0.19819622629472022,16,Paradise Lost.book ix,cliffnotes
4228,0.2506677117624113,32,Paradise Lost.book x,cliffnotes
4229,0.186979383526875,6,Paradise Lost.book i,sparknotes
4230,0.15678119020379028,10,Paradise Lost.book ii,sparknotes
4231,0.1997185293806158,14,Paradise Lost.book iii,sparknotes
4232,0.22101604857889573,25,Paradise Lost.book iv,sparknotes
4233,0.21853655748652198,17,Paradise Lost.book v,sparknotes
4234,0.20247313759217522,9,Paradise Lost.book vi,sparknotes
4235,0.21898257977545313,8,Paradise Lost.book vii,sparknotes
4236,0.2718012385316062,17,Paradise Lost.book viii,sparknotes
4237,0.25896305086464944,16,Paradise Lost.book ix,sparknotes
4238,0.25346779966362254,26,Paradise Lost.book x,sparknotes
4239,0.20512630039436267,3,Northanger Abbey.chapter i,gradesaver
4240,0.172176947837817,5,Northanger Abbey.chapter ii,gradesaver
4241,0.1930106694850799,9,Northanger Abbey.chapter iii,gradesaver
4242,0.18764063114234844,7,Northanger Abbey.chapter iv,gradesaver
4243,0.18060586098140458,8,Northanger Abbey.chapter v,gradesaver
4244,0.18283817282543668,6,Northanger Abbey.chapter vi,gradesaver
