,meteor,number of Unique sentences,chapter-title,source
391,0.3133156638546717,6,Adam Bede.book 5.chapter 45,sparknotes
392,0.3070376537425392,9,Adam Bede.book 5.chapter 46,sparknotes
393,0.258492335518663,3,Adam Bede.book 5.chapter 47,sparknotes
394,0.254102452591198,6,Adam Bede.book 5.chapter 48,sparknotes
395,0.2737023508389675,5,Adam Bede.book 6.chapter 49,sparknotes
396,0.2829199910725409,6,Adam Bede.book 6.chapter 50,sparknotes
397,0.29223856772765483,6,Adam Bede.book 6.chapter 51,sparknotes
398,0.2503824370490555,7,Adam Bede.book 6.chapter 52,sparknotes
399,0.2619778884024949,5,Adam Bede.book 6.chapter 53,sparknotes
400,0.3093596317306791,7,Adam Bede.book 6.chapter 54,sparknotes
401,0.21868159918782246,7,Adam Bede.book 6.chapter 55,sparknotes
402,0.29406784527880336,6,Adam Bede.book 1.chapter 1,novelguide
403,0.2639641568011932,6,Adam Bede.book 1.chapter 2,novelguide
404,0.27983023659359535,5,Adam Bede.book 1.chapter 3,novelguide
405,0.29972248266649215,6,Adam Bede.book 1.chapter 4,novelguide
406,0.26730944359235553,8,Adam Bede.book 1.chapter 5,novelguide
407,0.2358404406349799,4,Adam Bede.book 1.chapter 6,novelguide
408,0.22925820332712202,4,Adam Bede.book 1.chapter 7,novelguide
409,0.21734675444284243,4,Adam Bede.book 1.chapter 8,novelguide
410,0.21554806621488118,5,Adam Bede.book 1.chapter 9,novelguide
411,0.24752948967250427,6,Adam Bede.book 1.chapter 10,novelguide
412,0.2787673544038912,7,Adam Bede.book 1.chapter 11,novelguide
413,0.2654161484804595,6,Adam Bede.book 1.chapter 12,novelguide
414,0.26435691005860606,7,Adam Bede.book 1.chapter 13,novelguide
415,0.26753266457061947,7,Adam Bede.book 1.chapter 14,novelguide
416,0.2616935507297964,10,Adam Bede.book 1.chapter 15,novelguide
417,0.24822089504789935,8,Adam Bede.book 1.chapter 16,novelguide
418,0.177775482754634,4,Adam Bede.book 2.chapter 17,novelguide
419,0.2654586056833048,7,Adam Bede.book 2.chapter 18,novelguide
420,0.2599201584926149,5,Adam Bede.book 2.chapter 19,novelguide
421,0.2960396971234982,10,Adam Bede.book 2.chapter 20,novelguide
422,0.25518919163209985,3,Adam Bede.book 2.chapter 21,novelguide
423,0.26093405592269964,5,Adam Bede.book 3.chapter 22,novelguide
424,0.26965389749682195,2,Adam Bede.book 3.chapter 23,novelguide
425,0.2268815635642302,3,Adam Bede.book 3.chapter 24,novelguide
426,0.2455937019326668,5,Adam Bede.book 3.chapter 25,novelguide
427,0.2954740744284371,8,Adam Bede.book 3.chapter 26,novelguide
428,0.27697686083493606,7,Adam Bede.book 4.chapter 27,novelguide
