,bert,number of Unique sentences,chapter-title,source
4539,0.6941272020339966,12,The Jew of Malta.act 2,sparknotes
4540,0.738111674785614,18,The Jew of Malta.act 3,sparknotes
4541,0.7335493564605713,20,The Jew of Malta.act 4,sparknotes
4542,0.7263400554656982,22,The Jew of Malta.act 5,sparknotes
4543,0.6932311058044434,27,An Ideal Husband.act i,gradesaver
4544,0.6902509331703186,13,An Ideal Husband.act ii,gradesaver
4545,0.6849327683448792,22,An Ideal Husband.act iii,gradesaver
4546,0.7640944123268127,29,An Ideal Husband.act iv,gradesaver
4547,0.7556601166725159,26,An Ideal Husband.act i,sparknotes
4548,0.7890506982803345,13,An Ideal Husband.act ii,sparknotes
4549,0.8012701869010925,19,An Ideal Husband.act iii,sparknotes
4550,0.7733950614929199,33,An Ideal Husband.act iv,sparknotes
4551,0.7351109981536865,14,The Three Musketeers.chapters 13-16,gradesaver
4552,0.5768399834632874,11,The Three Musketeers.chapter 1,shmoop
4553,0.6259520053863525,12,The Three Musketeers.chapter 5,shmoop
4554,0.7405380606651306,10,The Three Musketeers.chapter 1,cliffnotes
4555,0.7379345893859863,10,The Three Musketeers.chapter 5,cliffnotes
4556,0.7271369099617004,15,The Three Musketeers.chapters 13-16,cliffnotes
4557,0.661578893661499,2,Cyrano de Bergerac.act 1.scene 1,cliffnotes
4558,0.6954746246337891,16,Cyrano de Bergerac.act 1.scene 4,cliffnotes
4559,0.7277306318283081,5,Cyrano de Bergerac.act 3.scene 1,cliffnotes
4560,0.6885690093040466,2,Cyrano de Bergerac.act 3.scene 4,cliffnotes
4561,0.621954083442688,3,Cyrano de Bergerac.act 4.scene 1,cliffnotes
4562,0.6391203999519348,10,Cyrano de Bergerac.act 4.scene 4,cliffnotes
4563,0.6261817216873169,4,Cyrano de Bergerac.act 4.scene 8,cliffnotes
4564,0.7347536087036133,3,Cyrano de Bergerac.act 5.scene 1,cliffnotes
4565,0.4144611954689026,1,Cyrano de Bergerac.act 5.scene 4,cliffnotes
4566,0.6985191106796265,7,Cyrano de Bergerac.act 5.scene 5,cliffnotes
4567,0.6381464600563049,4,Cyrano de Bergerac.act 5.scene 6,cliffnotes
4568,0.5568063259124756,2,Cyrano de Bergerac.act 1.scene 1,novelguide
4569,0.6812928318977356,16,Cyrano de Bergerac.act 1.scene 4,novelguide
4570,0.6618568897247314,6,Cyrano de Bergerac.act 3.scene 1,novelguide
4571,0.6991061568260193,2,Cyrano de Bergerac.act 3.scene 4,novelguide
4572,0.46205782890319824,3,Cyrano de Bergerac.act 4.scene 1,novelguide
4573,0.6523633599281311,9,Cyrano de Bergerac.act 4.scene 4,novelguide
4574,0.6729696393013,4,Cyrano de Bergerac.act 4.scene 8,novelguide
4575,0.5680488348007202,3,Cyrano de Bergerac.act 5.scene 1,novelguide
4576,0.5209743976593018,1,Cyrano de Bergerac.act 5.scene 4,novelguide
4577,0.6498628258705139,6,Cyrano de Bergerac.act 5.scene 5,novelguide
4578,0.5046549439430237,6,Cyrano de Bergerac.act 5.scene 6,novelguide
4579,0.6669379472732544,15,The Winter's Tale.act 4.scene 4,cliffnotes
4580,0.747418224811554,13,The Winter's Tale.act 4.scene 4,sparknotes
4581,0.6979068517684937,9,King Lear.act 1.scene 1,gradesaver
4582,0.682195246219635,8,King Lear.act 1.scene 2,gradesaver
4583,0.6796714067459106,4,King Lear.act 1.scene 3,gradesaver
4584,0.7456657886505127,11,King Lear.act 1.scene 4,gradesaver
4585,0.643836498260498,3,King Lear.act 1.scene 5,gradesaver
4586,0.6131430268287659,9,King Lear.act 2.scene 1,gradesaver
4587,0.6572787165641785,6,King Lear.act 2.scene 2,gradesaver
4588,0.7005479335784912,6,King Lear.act 3.scene 1,gradesaver
4589,0.6568888425827026,2,King Lear.act 3.scene 2,gradesaver
4590,0.6468765735626221,4,King Lear.act 3.scene 3,gradesaver
4591,0.705385148525238,7,King Lear.act 3.scene 4,gradesaver
4592,0.6871618032455444,3,King Lear.act 3.scene 5,gradesaver
4593,0.680660605430603,4,King Lear.act 3.scene 6,gradesaver
4594,0.7314800024032593,9,King Lear.act 3.scene 7,gradesaver
4595,0.6877809762954712,2,King Lear.act 4.scene 1,gradesaver
4596,0.708556056022644,5,King Lear.act 4.scene 2,gradesaver
4597,0.6900440454483032,4,King Lear.act 4.scene 3,gradesaver
4598,0.5829688906669617,2,King Lear.act 4.scene 4,gradesaver
4599,0.6954230070114136,3,King Lear.act 4.scene 5,gradesaver
4600,0.6306114792823792,6,King Lear.act 4.scene 7,gradesaver
4601,0.6904141902923584,5,King Lear.act 5.scene 1,gradesaver
4602,0.6393197178840637,1,King Lear.act 5.scene 2,gradesaver
4603,0.6757067441940308,14,King Lear.act 5.scene 3,gradesaver
4604,0.678509533405304,10,King Lear.act 1.scene 1,shmoop
4605,0.6778908371925354,8,King Lear.act 1.scene 2,shmoop
4606,0.5985448360443115,3,King Lear.act 1.scene 3,shmoop
4607,0.6754294633865356,20,King Lear.act 1.scene 4,shmoop
4608,0.6587203741073608,3,King Lear.act 1.scene 5,shmoop
4609,0.5952861309051514,11,King Lear.act 2.scene 1,shmoop
4610,0.6270092129707336,5,King Lear.act 2.scene 2,shmoop
4611,0.6576731204986572,6,King Lear.act 3.scene 1,shmoop
4612,0.5730117559432983,3,King Lear.act 3.scene 2,shmoop
4613,0.6755552291870117,3,King Lear.act 3.scene 3,shmoop
4614,0.6591307520866394,8,King Lear.act 3.scene 4,shmoop
4615,0.6561176180839539,2,King Lear.act 3.scene 5,shmoop
4616,0.6500838398933411,5,King Lear.act 3.scene 6,shmoop
4617,0.6800484657287598,9,King Lear.act 3.scene 7,shmoop
4618,0.6361958384513855,5,King Lear.act 4.scene 1,shmoop
4619,0.6999539136886597,6,King Lear.act 4.scene 2,shmoop
4620,0.6736769676208496,5,King Lear.act 4.scene 3,shmoop
4621,0.603234052658081,2,King Lear.act 4.scene 4,shmoop
4622,0.6491484045982361,4,King Lear.act 4.scene 5,shmoop
4623,0.5829439759254456,7,King Lear.act 4.scene 7,shmoop
4624,0.6482769250869751,5,King Lear.act 5.scene 1,shmoop
4625,0.5899502635002136,1,King Lear.act 5.scene 2,shmoop
4626,0.6383786797523499,15,King Lear.act 5.scene 3,shmoop
4627,0.7151814103126526,10,King Lear.act 1.scene 1,cliffnotes
4628,0.7660232782363892,3,King Lear.act 1.scene 2,cliffnotes
4629,0.7063348293304443,3,King Lear.act 1.scene 3,cliffnotes
4630,0.717746376991272,8,King Lear.act 1.scene 4,cliffnotes
4631,0.6373449563980103,2,King Lear.act 1.scene 5,cliffnotes
4632,0.601628839969635,7,King Lear.act 2.scene 1,cliffnotes
4633,0.6994172930717468,5,King Lear.act 2.scene 2,cliffnotes
4634,0.5286513566970825,2,King Lear.act 3.scene 3,cliffnotes
4635,0.6752937436103821,7,King Lear.act 3.scene 4,cliffnotes
4636,0.7152321338653564,6,King Lear.act 3.scene 1,cliffnotes
4637,0.5997649431228638,3,King Lear.act 3.scene 2,cliffnotes
4638,0.6013355255126953,4,King Lear.act 4.scene 3,cliffnotes
4639,0.46508246660232544,2,King Lear.act 4.scene 4,cliffnotes
4640,0.6446312069892883,2,King Lear.act 3.scene 5,cliffnotes
4641,0.728933572769165,3,King Lear.act 3.scene 6,cliffnotes
4642,0.7600401639938354,7,King Lear.act 3.scene 7,cliffnotes
4643,0.6760253310203552,4,King Lear.act 4.scene 1,cliffnotes
4644,0.755653977394104,6,King Lear.act 4.scene 2,cliffnotes
4645,0.5946353673934937,4,King Lear.act 5.scene 3,cliffnotes
4646,0.6859111189842224,3,King Lear.act 4.scene 5,cliffnotes
4647,0.6077340841293335,3,King Lear.act 4.scene 7,cliffnotes
4648,0.7130758762359619,3,King Lear.act 5.scene 1,cliffnotes
4649,0.6621578335762024,1,King Lear.act 5.scene 2,cliffnotes
4650,0.7473576664924622,8,King Lear.act 1.scene 1,sparknotes
4651,0.7212295532226562,6,King Lear.act 1.scene 2,sparknotes
4652,0.7284689545631409,3,King Lear.act 1.scene 3,sparknotes
4653,0.7540520429611206,12,King Lear.act 1.scene 4,sparknotes
4654,0.6816779375076294,2,King Lear.act 1.scene 5,sparknotes
4655,0.36833736300468445,2,King Lear.act 2.scene 1,sparknotes
4656,0.6658241152763367,5,King Lear.act 2.scene 2,sparknotes
4657,0.7420459389686584,4,King Lear.act 3.scene 1,sparknotes
4658,0.6502724289894104,3,King Lear.act 3.scene 2,sparknotes
4659,0.6788495182991028,4,King Lear.act 3.scene 3,sparknotes
4660,0.6595190167427063,7,King Lear.act 3.scene 4,sparknotes
4661,0.7895087599754333,1,King Lear.act 3.scene 5,sparknotes
4662,0.6792114973068237,6,King Lear.act 3.scene 6,sparknotes
4663,0.7580601572990417,9,King Lear.act 3.scene 7,sparknotes
4664,0.6381734609603882,5,King Lear.act 4.scene 1,sparknotes
4665,0.7360207438468933,6,King Lear.act 4.scene 2,sparknotes
4666,0.6837230920791626,5,King Lear.act 4.scene 3,sparknotes
4667,0.5948184728622437,2,King Lear.act 4.scene 4,sparknotes
4668,0.689970076084137,3,King Lear.act 4.scene 5,sparknotes
4669,0.6146899461746216,6,King Lear.act 4.scene 7,sparknotes
4670,0.6802042126655579,4,King Lear.act 5.scene 1,sparknotes
4671,0.6435138583183289,1,King Lear.act 5.scene 2,sparknotes
4672,0.6570175886154175,13,King Lear.act 5.scene 3,sparknotes
4673,0.7210949063301086,7,King Lear.act 1.scene 1,bookwolf
4674,0.7408022880554199,5,King Lear.act 1.scene 2,bookwolf
4675,0.7568511962890625,3,King Lear.act 1.scene 3,bookwolf
4676,0.7490969896316528,12,King Lear.act 1.scene 4,bookwolf
4677,0.6600650548934937,2,King Lear.act 1.scene 5,bookwolf
4678,0.6337283253669739,6,King Lear.act 2.scene 1,bookwolf
4679,0.7108495831489563,5,King Lear.act 2.scene 2,bookwolf
4680,0.761970043182373,4,King Lear.act 3.scene 1,bookwolf
4681,0.5402036905288696,2,King Lear.act 3.scene 2,bookwolf
4682,0.738200306892395,2,King Lear.act 3.scene 3,bookwolf
4683,0.6872533559799194,6,King Lear.act 3.scene 4,bookwolf
4684,0.6939141154289246,2,King Lear.act 3.scene 5,bookwolf
4685,0.6446120738983154,5,King Lear.act 3.scene 6,bookwolf
4686,0.7575039267539978,9,King Lear.act 3.scene 7,bookwolf
4687,0.7111784815788269,4,King Lear.act 4.scene 1,bookwolf
4688,0.7707945704460144,6,King Lear.act 4.scene 2,bookwolf
4689,0.7153794765472412,4,King Lear.act 4.scene 3,bookwolf
4690,0.59546959400177,2,King Lear.act 4.scene 4,bookwolf
4691,0.7341142892837524,4,King Lear.act 4.scene 5,bookwolf
4692,0.616470217704773,5,King Lear.act 4.scene 7,bookwolf
