,chrf,number of Unique sentences,chapter-title,source
243,0.1327965786947278,12,Adam Bede.book 4.chapter 30,gradesaver
244,0.16615938635163244,7,Adam Bede.book 4.chapter 31,gradesaver
245,0.11541780755321654,6,Adam Bede.book 4.chapter 32,gradesaver
246,0.103935777636509,7,Adam Bede.book 4.chapter 33,gradesaver
247,0.19138683426178227,4,Adam Bede.book 4.chapter 34,gradesaver
248,0.1019357239575821,7,Adam Bede.book 4.chapter 35,gradesaver
249,0.16851098500234055,8,Adam Bede.book 5.chapter 36,gradesaver
250,0.1481192948624045,7,Adam Bede.book 5.chapter 37,gradesaver
251,0.12111381773579105,12,Adam Bede.book 5.chapter 38,gradesaver
252,0.18617102441951405,8,Adam Bede.book 5.chapter 39,gradesaver
253,0.18152475297964168,12,Adam Bede.book 5.chapter 40,gradesaver
254,0.13788057614252738,4,Adam Bede.book 5.chapter 41,gradesaver
255,0.13294072477465957,7,Adam Bede.book 5.chapter 42,gradesaver
256,0.11514572821843441,13,Adam Bede.book 5.chapter 43,gradesaver
257,0.129956996479769,6,Adam Bede.book 5.chapter 44,gradesaver
258,0.13120852573776204,11,Adam Bede.book 5.chapter 45,gradesaver
259,0.12966648713931322,2,Adam Bede.book 5.chapter 47,gradesaver
260,0.14177998669503397,9,Adam Bede.book 5.chapter 48,gradesaver
261,0.14945024576694962,9,Adam Bede.book 6.chapter 49,gradesaver
262,0.13521885499025807,8,Adam Bede.book 6.chapter 50,gradesaver
263,0.1653816338265741,8,Adam Bede.book 6.chapter 51,gradesaver
264,0.15165301005499307,8,Adam Bede.book 6.chapter 52,gradesaver
265,0.12196051393661017,6,Adam Bede.book 6.chapter 53,gradesaver
266,0.152765847875586,5,Adam Bede.book 6.chapter 54,gradesaver
267,0.1378771528814293,7,Adam Bede.book 6.chapter 55,gradesaver
268,0.10083381576550464,11,Adam Bede.book 1.chapter 1,shmoop
269,0.11186019559396991,11,Adam Bede.book 1.chapter 2,shmoop
270,0.11410293213286321,9,Adam Bede.book 1.chapter 3,shmoop
271,0.10943984703855003,13,Adam Bede.book 1.chapter 4,shmoop
272,0.1074740970849137,10,Adam Bede.book 1.chapter 5,shmoop
273,0.10044850276463785,7,Adam Bede.book 1.chapter 6,shmoop
274,0.11804556611064336,6,Adam Bede.book 1.chapter 7,shmoop
275,0.11561553934823132,8,Adam Bede.book 1.chapter 8,shmoop
276,0.1132984943075979,13,Adam Bede.book 1.chapter 9,shmoop
277,0.11250788654222033,11,Adam Bede.book 1.chapter 10,shmoop
278,0.11958241818796032,13,Adam Bede.book 1.chapter 11,shmoop
279,0.1371009702543853,8,Adam Bede.book 1.chapter 12,shmoop
280,0.11503714646596559,8,Adam Bede.book 1.chapter 13,shmoop
281,0.1127562417609181,9,Adam Bede.book 1.chapter 14,shmoop
282,0.115695631568966,10,Adam Bede.book 1.chapter 15,shmoop
283,0.11070814364618461,14,Adam Bede.book 1.chapter 16,shmoop
284,0.08030055477004987,12,Adam Bede.book 2.chapter 17,shmoop
285,0.10695887218727226,12,Adam Bede.book 2.chapter 18,shmoop
286,0.10203250334347724,9,Adam Bede.book 2.chapter 19,shmoop
287,0.12926567156922902,17,Adam Bede.book 2.chapter 20,shmoop
288,0.09922588394023411,9,Adam Bede.book 2.chapter 21,shmoop
289,0.10344142141668922,10,Adam Bede.book 3.chapter 22,shmoop
290,0.08904673057282518,6,Adam Bede.book 3.chapter 23,shmoop
291,0.10488544338893624,9,Adam Bede.book 3.chapter 24,shmoop
292,0.10082757265173019,12,Adam Bede.book 3.chapter 25,shmoop
293,0.10748292123124133,11,Adam Bede.book 3.chapter 26,shmoop
294,0.13699450996923504,13,Adam Bede.book 4.chapter 27,shmoop
295,0.12849121784269515,8,Adam Bede.book 4.chapter 28,shmoop
296,0.10455250835129462,8,Adam Bede.book 4.chapter 29,shmoop
297,0.11647904315441199,15,Adam Bede.book 4.chapter 30,shmoop
298,0.1304180896282785,11,Adam Bede.book 4.chapter 31,shmoop
299,0.10246033936144337,7,Adam Bede.book 4.chapter 32,shmoop
300,0.1079328769247916,9,Adam Bede.book 4.chapter 33,shmoop
301,0.1213490576420852,14,Adam Bede.book 4.chapter 34,shmoop
302,0.10566764712012366,14,Adam Bede.book 4.chapter 35,shmoop
303,0.13720503635657588,10,Adam Bede.book 5.chapter 36,shmoop
304,0.12010236925788699,12,Adam Bede.book 5.chapter 37,shmoop
305,0.11912041651018798,17,Adam Bede.book 5.chapter 38,shmoop
306,0.13946718573911457,10,Adam Bede.book 5.chapter 39,shmoop
307,0.15863831941807535,18,Adam Bede.book 5.chapter 40,shmoop
308,0.10697725966080988,12,Adam Bede.book 5.chapter 41,shmoop
309,0.11493839501969205,13,Adam Bede.book 5.chapter 42,shmoop
310,0.10681769664170965,12,Adam Bede.book 5.chapter 43,shmoop
311,0.11418503843609538,8,Adam Bede.book 5.chapter 44,shmoop
312,0.11966838704285727,15,Adam Bede.book 5.chapter 45,shmoop
313,0.14539458575877903,15,Adam Bede.book 5.chapter 46,shmoop
314,0.08100459127043365,5,Adam Bede.book 5.chapter 47,shmoop
315,0.11303613990472666,18,Adam Bede.book 5.chapter 48,shmoop
316,0.1199023869563443,11,Adam Bede.book 6.chapter 49,shmoop
317,0.10833127683585518,13,Adam Bede.book 6.chapter 50,shmoop
318,0.11793994657328592,15,Adam Bede.book 6.chapter 51,shmoop
319,0.1311735680064032,11,Adam Bede.book 6.chapter 52,shmoop
320,0.11313586843858175,10,Adam Bede.book 6.chapter 53,shmoop
321,0.12715990855248113,11,Adam Bede.book 6.chapter 54,shmoop
322,0.13905093825472295,7,Adam Bede.book 6.chapter 55,shmoop
323,0.0979801998603703,7,Adam Bede.epilogue.chapter 56,shmoop
324,0.10888046548685923,7,Adam Bede.book 1.chapter 1,cliffnotes
325,0.1590847314747834,5,Adam Bede.book 1.chapter 2,cliffnotes
326,0.11548521203318977,4,Adam Bede.book 1.chapter 3,cliffnotes
327,0.1340328970356668,6,Adam Bede.book 1.chapter 4,cliffnotes
328,0.13845886190370385,6,Adam Bede.book 1.chapter 5,cliffnotes
329,0.12174932677053428,8,Adam Bede.book 1.chapter 10,cliffnotes
330,0.1359131896669117,7,Adam Bede.book 1.chapter 11,cliffnotes
331,0.1292348931399385,7,Adam Bede.book 1.chapter 16,cliffnotes
332,0.11994272610224897,3,Adam Bede.book 2.chapter 17,cliffnotes
333,0.11181153695125307,8,Adam Bede.book 2.chapter 18,cliffnotes
334,0.09760684645006805,3,Adam Bede.book 2.chapter 19,cliffnotes
335,0.139862669644633,10,Adam Bede.book 2.chapter 20,cliffnotes
336,0.12733515253608854,4,Adam Bede.book 2.chapter 21,cliffnotes
337,0.12716531673802317,4,Adam Bede.book 4.chapter 29,cliffnotes
338,0.10415657292038598,3,Adam Bede.book 4.chapter 32,cliffnotes
339,0.11505448839804978,4,Adam Bede.book 4.chapter 35,cliffnotes
340,0.11886083024142316,6,Adam Bede.book 5.chapter 38,cliffnotes
341,0.12929871578908725,6,Adam Bede.book 5.chapter 43,cliffnotes
342,0.13848380425024,6,Adam Bede.book 5.chapter 44,cliffnotes
343,0.13455395932720998,7,Adam Bede.book 5.chapter 45,cliffnotes
344,0.1499111627925764,8,Adam Bede.book 5.chapter 48,cliffnotes
345,0.13127901855562518,5,Adam Bede.book 6.chapter 53,cliffnotes
346,0.1563160095718235,5,Adam Bede.epilogue.chapter 56,cliffnotes
347,0.11346461952409242,7,Adam Bede.book 1.chapter 1,sparknotes
348,0.12577443899286705,6,Adam Bede.book 1.chapter 2,sparknotes
349,0.1245121217666054,6,Adam Bede.book 1.chapter 3,sparknotes
