,bleu,number of Unique sentences,chapter-title,source
901,0.28182897841551613,8,Little Women.part 2.chapter 37,sparknotes
902,0.3180060431543705,9,Little Women.part 2.chapter 38,sparknotes
903,0.3245461273585647,8,Little Women.part 2.chapter 39,sparknotes
904,0.2684594746236185,7,Little Women.part 2.chapter 40,sparknotes
905,0.32086564031667825,10,Little Women.part 2.chapter 41,sparknotes
906,0.31818658674731815,7,Little Women.part 2.chapter 42,sparknotes
907,0.283782600723309,10,Little Women.part 2.chapter 43,sparknotes
908,0.30184562575701374,3,Little Women.part 2.chapter 44,sparknotes
909,0.2722474685146617,8,Little Women.part 2.chapter 45,sparknotes
910,0.3363074938725206,8,Little Women.part 2.chapter 46,sparknotes
911,0.2845493186733536,13,Little Women.part 2.chapter 47,sparknotes
912,0.33724137273949795,6,Little Women.part 1.chapter 1,novelguide
913,0.27179084405224163,8,Little Women.part 1.chapter 2,novelguide
914,0.32804994557140754,11,Little Women.part 1.chapter 3,novelguide
915,0.307345895538654,7,Little Women.part 1.chapter 4,novelguide
916,0.30830342718584586,7,Little Women.part 1.chapter 5,novelguide
917,0.29113815323014275,6,Little Women.part 1.chapter 6,novelguide
918,0.33061666246563987,10,Little Women.part 1.chapter 7,novelguide
919,0.3456397819211475,15,Little Women.part 1.chapter 8,novelguide
920,0.2864360013482766,11,Little Women.part 1.chapter 9,novelguide
921,0.30903397583397857,3,Little Women.part 1.chapter 10,novelguide
922,0.26578984749116263,10,Little Women.part 1.chapter 11,novelguide
923,0.28969891280321236,12,Little Women.part 1.chapter 12,novelguide
924,0.2842636099038041,12,Little Women.part 1.chapter 14,novelguide
925,0.26307052716513213,11,Little Women.part 1.chapter 15,novelguide
926,0.2289033814860973,5,Little Women.part 1.chapter 16,novelguide
927,0.3031546397743414,6,Little Women.part 1.chapter 17,novelguide
928,0.2450701101271917,13,Little Women.part 1.chapter 18,novelguide
929,0.2779834028833802,6,Little Women.part 2.chapter 25,novelguide
930,0.30959092681314404,6,Little Women.part 2.chapter 26,novelguide
931,0.32058543149518715,10,Little Women.part 2.chapter 27,novelguide
932,0.30838492474477597,14,Little Women.part 2.chapter 28,novelguide
933,0.29176308726284117,9,Little Women.part 2.chapter 29,novelguide
934,0.3260027724286859,8,Little Women.part 2.chapter 30,novelguide
935,0.34056580534773295,6,Little Women.part 2.chapter 31,novelguide
936,0.36795547058706346,7,Little Women.part 2.chapter 32,novelguide
937,0.2842693519973961,6,Little Women.part 2.chapter 33,novelguide
938,0.2929474001638389,13,Little Women.part 2.chapter 34,novelguide
939,0.3004784380548553,13,Little Women.part 2.chapter 35,novelguide
940,0.30123588465365525,9,Little Women.part 2.chapter 36,novelguide
941,0.2961326492652194,4,Little Women.part 2.chapter 37,novelguide
942,0.2993997922710872,10,Little Women.part 2.chapter 38,novelguide
943,0.30609708754648207,7,Little Women.part 2.chapter 39,novelguide
944,0.3150881900677635,6,Little Women.part 2.chapter 40,novelguide
945,0.27415533835519,9,Little Women.part 1.chapter 1,thebestnotes
946,0.27783089531661403,8,Little Women.part 1.chapter 2,thebestnotes
947,0.3043062090301341,13,Little Women.part 1.chapter 3,thebestnotes
948,0.26971208932728197,20,Little Women.part 1.chapter 4,thebestnotes
949,0.2782526540699966,17,Little Women.part 1.chapter 5,thebestnotes
950,0.29334934020042436,12,Little Women.part 1.chapter 6,thebestnotes
951,0.30385592139068046,12,Little Women.part 1.chapter 7,thebestnotes
952,0.35041580647179993,11,Little Women.part 1.chapter 8,thebestnotes
953,0.2706969105215786,8,Little Women.part 1.chapter 9,thebestnotes
954,0.2918400541364584,7,Little Women.part 1.chapter 10,thebestnotes
955,0.28962324180596966,8,Little Women.part 1.chapter 11,thebestnotes
956,0.3022158422307226,4,Little Women.part 1.chapter 12,thebestnotes
957,0.2870727570029236,8,Little Women.part 1.chapter 13,thebestnotes
958,0.2962615748444891,5,Little Women.part 1.chapter 14,thebestnotes
959,0.31152787467099674,4,Little Women.part 1.chapter 15,thebestnotes
960,0.2063903253080443,3,Little Women.part 1.chapter 16,thebestnotes
961,0.3159283287183093,6,Little Women.part 1.chapter 17,thebestnotes
962,0.2686271931522789,6,Little Women.part 1.chapter 18,thebestnotes
963,0.31081464885524285,5,Little Women.part 1.chapter 20,thebestnotes
964,0.29877994020150805,9,Little Women.part 1.chapter 21,thebestnotes
965,0.2939305574200233,5,Little Women.part 1.chapter 22,thebestnotes
966,0.31586205554607605,9,Little Women.part 1.chapter 23,thebestnotes
967,0.2858698657377811,11,Little Women.part 2.chapter 24,thebestnotes
968,0.27393001060527755,4,Little Women.part 2.chapter 25,thebestnotes
969,0.2572978893212043,10,Little Women.part 2.chapter 26,thebestnotes
970,0.29144109482943636,8,Little Women.part 2.chapter 27,thebestnotes
971,0.29667584877039893,13,Little Women.part 2.chapter 28,thebestnotes
972,0.28858368294109266,11,Little Women.part 2.chapter 29,thebestnotes
973,0.33324059890005187,12,Little Women.part 2.chapter 30,thebestnotes
974,0.31450385755347504,9,Little Women.part 2.chapter 31,thebestnotes
975,0.3436900331794662,6,Little Women.part 2.chapter 32,thebestnotes
976,0.2686685680369593,8,Little Women.part 2.chapter 33,thebestnotes
977,0.27697338351210055,14,Little Women.part 2.chapter 34,thebestnotes
978,0.30191593781555404,5,Little Women.part 2.chapter 35,thebestnotes
979,0.31208515315441177,5,Little Women.part 2.chapter 36,thebestnotes
980,0.29074657575453766,7,Little Women.part 2.chapter 37,thebestnotes
981,0.31066155942879403,10,Little Women.part 2.chapter 38,thebestnotes
982,0.2961476197461971,5,Little Women.part 2.chapter 39,thebestnotes
983,0.31416059400986046,4,Little Women.part 2.chapter 40,thebestnotes
984,0.29078054197482994,14,Little Women.part 2.chapter 41,thebestnotes
985,0.3047013760911645,9,Little Women.part 2.chapter 42,thebestnotes
986,0.3001203340693941,9,Little Women.part 2.chapter 43,thebestnotes
987,0.28505277641027243,5,Little Women.part 2.chapter 44,thebestnotes
988,0.302512212191325,6,Little Women.part 2.chapter 45,thebestnotes
989,0.3102110633801771,11,Little Women.part 2.chapter 46,thebestnotes
990,0.3003156619928843,8,Little Women.part 2.chapter 47,thebestnotes
991,0.2700375016566659,18,Little Women.part 1.chapter 1,gradesaver
992,0.28943050530338865,10,Little Women.part 1.chapter 2,gradesaver
993,0.33381068711423595,11,Little Women.part 1.chapter 3,gradesaver
994,0.2855093566197985,17,Little Women.part 1.chapter 4,gradesaver
995,0.32564683046569776,14,Little Women.part 1.chapter 5,gradesaver
996,0.3453731564223617,8,Little Women.part 1.chapter 6,gradesaver
997,0.3856837286874657,8,Little Women.part 1.chapter 7,gradesaver
998,0.3702408775572578,9,Little Women.part 1.chapter 8,gradesaver
999,0.31016085529305687,16,Little Women.part 1.chapter 9,gradesaver
1000,0.31145005602854736,7,Little Women.part 1.chapter 10,gradesaver
1001,0.2796821626033321,14,Little Women.part 1.chapter 11,gradesaver
1002,0.29694605847004085,15,Little Women.part 1.chapter 12,gradesaver
1003,0.31201674847764377,11,Little Women.part 1.chapter 13,gradesaver
1004,0.3014162092386069,12,Little Women.part 1.chapter 14,gradesaver
1005,0.2539709853129346,10,Little Women.part 1.chapter 15,gradesaver
1006,0.22923015808668856,6,Little Women.part 1.chapter 16,gradesaver
1007,0.29511002800713304,12,Little Women.part 1.chapter 17,gradesaver
1008,0.2764217428257424,11,Little Women.part 1.chapter 18,gradesaver
1009,0.3917289965546772,10,Little Women.part 1.chapter 19,gradesaver
1010,0.3036232116624639,10,Little Women.part 1.chapter 20,gradesaver
1011,0.3314725049722046,12,Little Women.part 1.chapter 21,gradesaver
1012,0.2451464226360369,10,Little Women.part 1.chapter 22,gradesaver
1013,0.3260916581164251,16,Little Women.part 1.chapter 23,gradesaver
1014,0.2765170083637006,8,Little Women.part 2.chapter 24,gradesaver
1015,0.26532989948917135,8,Little Women.part 2.chapter 25,gradesaver
1016,0.2956372808918835,8,Little Women.part 2.chapter 26,gradesaver
1017,0.2997830918029234,11,Little Women.part 2.chapter 27,gradesaver
1018,0.3157779251175213,11,Little Women.part 2.chapter 28,gradesaver
1019,0.3243730059548678,7,Little Women.part 2.chapter 29,gradesaver
1020,0.31189137709494646,13,Little Women.part 2.chapter 30,gradesaver
1021,0.28867252444306657,14,Little Women.part 2.chapter 31,gradesaver
1022,0.338586826723544,13,Little Women.part 2.chapter 32,gradesaver
1023,0.2763778080470535,10,Little Women.part 2.chapter 33,gradesaver
1024,0.28315415859136356,15,Little Women.part 2.chapter 34,gradesaver
1025,0.2986997413175599,14,Little Women.part 2.chapter 35,gradesaver
1026,0.2962668326004327,7,Little Women.part 2.chapter 36,gradesaver
1027,0.27941145655104255,12,Little Women.part 2.chapter 37,gradesaver
1028,0.3382906687213698,7,Little Women.part 2.chapter 38,gradesaver
1029,0.2978520566217866,9,Little Women.part 2.chapter 39,gradesaver
1030,0.28041161866454306,7,Little Women.part 2.chapter 40,gradesaver
1031,0.3160635910240504,14,Little Women.part 2.chapter 41,gradesaver
1032,0.28842184906337115,9,Little Women.part 2.chapter 42,gradesaver
1033,0.2739229294706254,10,Little Women.part 2.chapter 43,gradesaver
1034,0.282988348052479,3,Little Women.part 2.chapter 44,gradesaver
1035,0.28608441275964747,5,Little Women.part 2.chapter 45,gradesaver
1036,0.2901033750883934,11,Little Women.part 2.chapter 46,gradesaver
1037,0.27992450228699656,13,Little Women.part 2.chapter 47,gradesaver
1038,0.2575681341073292,22,Little Women.part 1.chapter 1,shmoop
1039,0.23533408241889905,12,Little Women.part 1.chapter 2,shmoop
1040,0.27944675453639234,12,Little Women.part 1.chapter 3,shmoop
1041,0.26481676422786943,20,Little Women.part 1.chapter 4,shmoop
1042,0.2924694753258891,15,Little Women.part 1.chapter 5,shmoop
1043,0.2879120078672347,8,Little Women.part 1.chapter 6,shmoop
