,bartscore,number of Unique sentences,chapter-title,source
2501,-2.8283300002415976,5,David Copperfield.chapter xx,novelguide
2502,-2.5759081683660807,10,David Copperfield.chapter xxi,novelguide
2503,-3.2698741186232794,6,David Copperfield.chapter xxii,novelguide
2504,-2.91183665394783,5,David Copperfield.chapter xxiii,novelguide
2505,-3.2196933031082153,6,David Copperfield.chapter xxiv,novelguide
2506,-2.8924385434702824,7,David Copperfield.chapter xxv,novelguide
2507,-2.809926885824937,7,David Copperfield.chapter xxvi,novelguide
2508,-2.623344620068868,6,David Copperfield.chapter xxvii,novelguide
2509,-2.6484991878271105,14,David Copperfield.chapter xxviii,novelguide
2510,-2.671442965666453,5,David Copperfield.chapter xxix,novelguide
2511,-2.624061095714569,5,David Copperfield.chapter xxx,novelguide
2512,-2.562481133143107,8,David Copperfield.chapter xxxi,novelguide
2513,-2.615468740463257,9,David Copperfield.chapter xxxii,novelguide
2514,-2.373080488294363,8,David Copperfield.chapter xxxiii,novelguide
2515,-3.240579660122211,5,David Copperfield.chapter xxxiv,novelguide
2516,-3.056765978986567,7,David Copperfield.chapter xxxv,novelguide
2517,-3.0364424884319305,9,David Copperfield.chapter xxxvi,novelguide
2518,-3.199372573332353,2,David Copperfield.chapter xxxvii,novelguide
2519,-2.312013708628141,7,David Copperfield.chapter xxxviii,novelguide
2520,-2.3563894176483156,8,David Copperfield.chapter xxxix,novelguide
2521,-2.5603199345724925,4,David Copperfield.chapter xl,novelguide
2522,-2.919545304775238,6,David Copperfield.chapter xli,novelguide
2523,-2.820653512364342,12,David Copperfield.chapter xlii,novelguide
2524,-5.514208952585856,1,David Copperfield.chapter xliii,novelguide
2525,-2.8910503652360706,5,David Copperfield.chapter xliv,novelguide
2526,-3.229423235202658,5,David Copperfield.chapter xlv,novelguide
2527,-2.775673472881317,9,David Copperfield.chapter xlvi,novelguide
2528,-2.9984844856792026,3,David Copperfield.chapter xlvii,novelguide
2529,-3.1355077853569617,3,David Copperfield.chapter xlviii,novelguide
2530,-3.2064768075942993,4,David Copperfield.chapter xlix,novelguide
2531,-2.826997908678922,3,David Copperfield.chapter l,novelguide
2532,-2.6579983126033437,9,David Copperfield.chapter li,novelguide
2533,-3.1023309956426206,6,David Copperfield.chapter lii,novelguide
2534,-2.447861760854721,4,David Copperfield.chapter liii,novelguide
2535,-2.4291822635210476,7,David Copperfield.chapter liv,novelguide
2536,-3.1159504087347734,7,David Copperfield.chapter lv,novelguide
2537,-3.2977188733907847,4,David Copperfield.chapter lvi,novelguide
2538,-3.0689990520477295,4,David Copperfield.chapter lvii,novelguide
2539,-2.6152031054863563,4,David Copperfield.chapter lviii,novelguide
2540,-3.0335654531206404,4,David Copperfield.chapter lix,novelguide
2541,-2.684204864501953,3,David Copperfield.chapter lx,novelguide
2542,-3.0457835508429487,4,David Copperfield.chapter lxi,novelguide
2543,-3.2151398291954627,4,David Copperfield.chapter lxii,novelguide
2544,-2.8714129073279246,4,David Copperfield.chapter lxiii,novelguide
2545,-3.055048966407776,5,David Copperfield.chapter lxiv,novelguide
2546,-3.0855659445126853,3,Sister Carrie.chapters 41-47,gradesaver
2547,-3.2345419094480317,4,Sister Carrie.chapter 1,shmoop
2548,-3.567565074333778,3,Sister Carrie.chapter 5,shmoop
2549,-3.6409843248479508,3,Sister Carrie.chapter 16,shmoop
2550,-3.08560175644724,8,Sister Carrie.chapter 26,shmoop
2551,-3.0422522405098222,8,Sister Carrie.chapter 27,shmoop
2552,-3.0607403033488505,4,Sister Carrie.chapter 32,shmoop
2553,-3.0291103904063883,4,Sister Carrie.chapter 36,shmoop
2554,-3.1343163468620996,2,Sister Carrie.chapter 42,shmoop
2555,-3.437077886918012,5,Sister Carrie.chapter 45,shmoop
2556,-3.0290564246799634,5,Sister Carrie.chapter 46,shmoop
2557,-3.199378220240275,6,Sister Carrie.chapter 47,shmoop
2558,-2.802823225657145,9,Sister Carrie.chapter 1,cliffnotes
2559,-2.613452911376953,3,Sister Carrie.chapter 5,cliffnotes
